Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC1-6. Sign Up,Chrome 97.0.4692.71,,,2022-01-16 19:33:38,2022-01-16 19:39:44,6m - 6.240s,FAILED
,,,,,,,
Test Cases/TC1-6. Sign Up,Chrome 97.0.4692.71,,,2022-01-16 19:33:39,2022-01-16 19:34:03,23.885s,FAILED
"openBrowser("""")",Chrome 97.0.4692.71,,,2022-01-16 19:33:39,2022-01-16 19:33:42,2.590s,PASSED
"navigateToUrl(""http://localhost:8080/#/register"")",Chrome 97.0.4692.71,,,2022-01-16 19:33:42,2022-01-16 19:33:44,2.263s,PASSED
"setText(findTestObject(""Object Repository/Sign Up/Page_Element/input_Or_mx_RegistrationForm_username""), username)",Chrome 97.0.4692.71,,,2022-01-16 19:33:44,2022-01-16 19:33:47,3.081s,PASSED
"setText(findTestObject(""Object Repository/Sign Up/Page_Element/input_Username_mx_RegistrationForm_password""), password)",Chrome 97.0.4692.71,,,2022-01-16 19:33:47,2022-01-16 19:33:48,0.974s,PASSED
"click(findTestObject(""Object Repository/Sign Up/Page_Element/div_Confirm password""))",Chrome 97.0.4692.71,,,2022-01-16 19:33:48,2022-01-16 19:34:03,14.402s,FAILED
,,,,,,,
Test Cases/TC1-6. Sign Up,Chrome 97.0.4692.71,,,2022-01-16 19:34:03,2022-01-16 19:34:15,11.909s,FAILED
"openBrowser("""")",Chrome 97.0.4692.71,,,2022-01-16 19:34:03,2022-01-16 19:34:06,3.193s,PASSED
"navigateToUrl(""http://localhost:8080/#/register"")",Chrome 97.0.4692.71,,,2022-01-16 19:34:06,2022-01-16 19:34:08,1.974s,PASSED
"setText(findTestObject(""Object Repository/Sign Up/Page_Element/input_Or_mx_RegistrationForm_username""), username)",Chrome 97.0.4692.71,,,2022-01-16 19:34:08,2022-01-16 19:34:15,6.719s,FAILED
,,,,,,,
Test Cases/TC1-6. Sign Up,Chrome 97.0.4692.71,,,2022-01-16 19:34:15,2022-01-16 19:34:32,17.810s,FAILED
"openBrowser("""")",Chrome 97.0.4692.71,,,2022-01-16 19:34:15,2022-01-16 19:34:17,2.820s,PASSED
"navigateToUrl(""http://localhost:8080/#/register"")",Chrome 97.0.4692.71,,,2022-01-16 19:34:17,2022-01-16 19:34:20,2.718s,PASSED
"setText(findTestObject(""Object Repository/Sign Up/Page_Element/input_Or_mx_RegistrationForm_username""), username)",Chrome 97.0.4692.71,,,2022-01-16 19:34:20,2022-01-16 19:34:32,12.257s,FAILED
,,,,,,,
Test Cases/TC1-6. Sign Up,Chrome 97.0.4692.71,,,2022-01-16 19:34:33,2022-01-16 19:34:54,21.259s,FAILED
"openBrowser("""")",Chrome 97.0.4692.71,,,2022-01-16 19:34:33,2022-01-16 19:34:35,2.785s,PASSED
"navigateToUrl(""http://localhost:8080/#/register"")",Chrome 97.0.4692.71,,,2022-01-16 19:34:35,2022-01-16 19:34:38,2.660s,PASSED
"setText(findTestObject(""Object Repository/Sign Up/Page_Element/input_Or_mx_RegistrationForm_username""), username)",Chrome 97.0.4692.71,,,2022-01-16 19:34:38,2022-01-16 19:34:54,15.793s,FAILED
,,,,,,,
Test Cases/TC1-6. Sign Up,Chrome 97.0.4692.71,,,2022-01-16 19:34:54,2022-01-16 19:39:32,4m - 37.963s,PASSED
"openBrowser("""")",Chrome 97.0.4692.71,,,2022-01-16 19:34:54,2022-01-16 19:34:57,2.703s,PASSED
"navigateToUrl(""http://localhost:8080/#/register"")",Chrome 97.0.4692.71,,,2022-01-16 19:34:57,2022-01-16 19:34:58,1.721s,PASSED
"setText(findTestObject(""Object Repository/Sign Up/Page_Element/input_Or_mx_RegistrationForm_username""), username)",Chrome 97.0.4692.71,,,2022-01-16 19:34:58,2022-01-16 19:36:00,1m - 1.285s,PASSED
"setText(findTestObject(""Object Repository/Sign Up/Page_Element/input_Username_mx_RegistrationForm_password""), password)",Chrome 97.0.4692.71,,,2022-01-16 19:36:00,2022-01-16 19:37:00,1m - 0.486s,PASSED
"click(findTestObject(""Object Repository/Sign Up/Page_Element/div_Confirm password""))",Chrome 97.0.4692.71,,,2022-01-16 19:37:00,2022-01-16 19:37:30,30.379s,PASSED
"setText(findTestObject(""Object Repository/Sign Up/Page_Element/input_Password_mx_RegistrationForm_passwordConfirm""), confirmpassword)",Chrome 97.0.4692.71,,,2022-01-16 19:37:30,2022-01-16 19:38:31,1m - 0.275s,PASSED
"setText(findTestObject(""Object Repository/Sign Up/Page_Element/input_Confirm password_mx_Field_1""), email)",Chrome 97.0.4692.71,,,2022-01-16 19:38:31,2022-01-16 19:39:31,1m - 0.283s,PASSED
closeBrowser(),Chrome 97.0.4692.71,,,2022-01-16 19:39:31,2022-01-16 19:39:32,0.811s,PASSED
,,,,,,,
