Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC21-22. Creating private workspace,Chrome 97.0.4692.71,,,2022-01-16 21:25:48,2022-01-16 21:38:31,12m - 42.913s,PASSED
,,,,,,,
Test Cases/TC21-22. Create private workspace,Chrome 97.0.4692.71,,,2022-01-16 21:25:49,2022-01-16 21:31:55,6m - 6.117s,PASSED
"openBrowser("""")",Chrome 97.0.4692.71,,,2022-01-16 21:25:50,2022-01-16 21:25:56,5.098s,PASSED
"navigateToUrl(""http://localhost:8080/#/login"")",Chrome 97.0.4692.71,,,2022-01-16 21:25:56,2022-01-16 21:26:00,4.221s,PASSED
"setText(findTestObject(""Object Repository/Creating private workspace/Page_Element/input_Sign in with_username""), ""tvminh19"")",Chrome 97.0.4692.71,,,2022-01-16 21:26:00,2022-01-16 21:26:03,3.574s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Creating private workspace/Page_Element/input_Username_password""), ""ZMYEqBLXlqKBS+xCxiYvcQ=="")",Chrome 97.0.4692.71,,,2022-01-16 21:26:03,2022-01-16 21:26:04,0.967s,PASSED
"click(findTestObject(""Object Repository/Creating private workspace/Page_Element/input_Forgot password_mx_Login_submit""))",Chrome 97.0.4692.71,,,2022-01-16 21:26:04,2022-01-16 21:26:05,0.498s,PASSED
"click(findTestObject(""Object Repository/Creating private workspace/Page_Element/div_Verify with Security Key""))",Chrome 97.0.4692.71,,,2022-01-16 21:26:05,2022-01-16 21:26:09,3.928s,PASSED
"click(findTestObject(""Object Repository/Creating private workspace/Page_Element/h2_Security Key""))",Chrome 97.0.4692.71,,,2022-01-16 21:26:09,2022-01-16 21:26:39,30.367s,PASSED
"setText(findTestObject(""Object Repository/Creating private workspace/Page_Element/input_Security Key_mx_Field_4""), ""EsTz GjF9 i17E JLpz sfyb e7c5 tV5p wVxd Jh5S uSmg KYJr KDsR"")",Chrome 97.0.4692.71,,,2022-01-16 21:26:39,2022-01-16 21:27:24,44.921s,PASSED
"click(findTestObject(""Object Repository/Creating private workspace/Page_Element/button_Continue""))",Chrome 97.0.4692.71,,,2022-01-16 21:27:24,2022-01-16 21:27:54,30.174s,PASSED
"click(findTestObject(""Object Repository/Creating private workspace/Page_Element/div_Done""))",Chrome 97.0.4692.71,,,2022-01-16 21:27:54,2022-01-16 21:28:24,29.351s,PASSED
"click(findTestObject(""Object Repository/Creating private workspace/Page_Element/div_Check your devices_mx_SpaceButton_icon""))",Chrome 97.0.4692.71,,,2022-01-16 21:28:24,2022-01-16 21:28:54,30.354s,PASSED
