Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC23-29,Chrome 97.0.4692.71,,,2022-01-16 21:26:31,2022-01-16 21:50:32,24m - 0.815s,FAILED
,,,,,,,
Test Cases/TC23. Starting a conversation,Chrome 97.0.4692.71,,,2022-01-16 21:26:31,2022-01-16 21:30:21,3m - 49.975s,PASSED
"openBrowser("""")",Chrome 97.0.4692.71,,,2022-01-16 21:26:32,2022-01-16 21:26:36,3.788s,PASSED
"navigateToUrl(""http://localhost:8080/#/login"")",Chrome 97.0.4692.71,,,2022-01-16 21:26:36,2022-01-16 21:26:41,5.087s,PASSED
"setText(findTestObject(""Object Repository/starting a conversation/Page_Element/input_Sign in with_username""), ""tvminh19"")",Chrome 97.0.4692.71,,,2022-01-16 21:26:41,2022-01-16 21:26:45,4.068s,PASSED
"setEncryptedText(findTestObject(""Object Repository/starting a conversation/Page_Element/input_Username_password""), ""ZMYEqBLXlqKBS+xCxiYvcQ=="")",Chrome 97.0.4692.71,,,2022-01-16 21:26:45,2022-01-16 21:26:46,1.293s,PASSED
"click(findTestObject(""Object Repository/starting a conversation/Page_Element/input_Forgot password_mx_Login_submit""))",Chrome 97.0.4692.71,,,2022-01-16 21:26:46,2022-01-16 21:26:47,0.617s,PASSED
"click(findTestObject(""Object Repository/starting a conversation/Page_Element/div_Verify with Security Key""))",Chrome 97.0.4692.71,,,2022-01-16 21:26:47,2022-01-16 21:27:19,32.627s,PASSED
"setEncryptedText(findTestObject(""Object Repository/starting a conversation/Page_Element/input_Security Key_mx_Field_4""), ""VS8rYQ977uuZTKUEW2qHoqEszM/c6AWesmLKV2MYNvqcWwurKMbzDimjKKZIAEKmZHKDZ9qV+hrvpiERJe3Tdg=="")",Chrome 97.0.4692.71,,,2022-01-16 21:27:19,2022-01-16 21:27:50,30.633s,PASSED
"click(findTestObject(""Object Repository/starting a conversation/Page_Element/button_Continue""))",Chrome 97.0.4692.71,,,2022-01-16 21:27:50,2022-01-16 21:28:20,30.193s,PASSED
"click(findTestObject(""Object Repository/starting a conversation/Page_Element/div_Done""))",Chrome 97.0.4692.71,,,2022-01-16 21:28:20,2022-01-16 21:28:50,30.203s,PASSED
"click(findTestObject(""Object Repository/starting a conversation/Page_Element/div_Send a Direct Message""))",Chrome 97.0.4692.71,,,2022-01-16 21:28:50,2022-01-16 21:29:21,30.279s,PASSED
"click(findTestObject(""Object Repository/starting a conversation/Page_Element/div_CCongTainctaimatrix.org4 minutes ago""))",Chrome 97.0.4692.71,,,2022-01-16 21:29:21,2022-01-16 21:29:51,30.318s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/starting a conversation/Page_Element/div_Go""))",Chrome 97.0.4692.71,,,2022-01-16 21:29:51,2022-01-16 21:30:21,30.140s,PASSED
,,,,,,,
Test Cases/TC24. Chatting with other people,Chrome 97.0.4692.71,,,2022-01-16 21:30:21,2022-01-16 21:34:04,3m - 43.040s,PASSED
"openBrowser("""")",Chrome 97.0.4692.71,,,2022-01-16 21:30:22,2022-01-16 21:30:24,2.189s,PASSED
