Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC39-40. Setting - PhoneNumber,Chrome 97.0.4692.71,,,2022-01-16 00:20:28,2022-01-16 00:30:41,10m - 13.223s,PASSED
,,,,,,,
Test Cases/TC39-40. Setting - Phone Number,Chrome 97.0.4692.71,,,2022-01-16 00:20:29,2022-01-16 00:25:52,5m - 22.720s,PASSED
"openBrowser("""")",Chrome 97.0.4692.71,,,2022-01-16 00:20:30,2022-01-16 00:20:33,3.235s,PASSED
"navigateToUrl(""http://localhost:8080/#/login"")",Chrome 97.0.4692.71,,,2022-01-16 00:20:33,2022-01-16 00:20:36,2.415s,PASSED
"setText(findTestObject(""Object Repository/Setting - Phone Number/Page_Element/input_Sign in with_username""), ""nctai"")",Chrome 97.0.4692.71,,,2022-01-16 00:20:36,2022-01-16 00:20:42,5.956s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Setting - Phone Number/Page_Element/input_Username_password""), ""EkCegUu2cCIeOttlbhr1Gg=="")",Chrome 97.0.4692.71,,,2022-01-16 00:20:42,2022-01-16 00:20:42,0.533s,PASSED
"click(findTestObject(""Object Repository/Setting - Phone Number/Page_Element/input_Forgot password_mx_Login_submit""))",Chrome 97.0.4692.71,,,2022-01-16 00:20:42,2022-01-16 00:20:43,0.478s,PASSED
"click(findTestObject(""Object Repository/Setting - Phone Number/Page_Element 2/div_Verify with Security Key or Phrase""))",Chrome 97.0.4692.71,,,2022-01-16 00:20:43,2022-01-16 00:21:44,1m - 1.146s,PASSED
"click(findTestObject(""Object Repository/Setting - Phone Number/Page_Element 2/div_Security Phrase""))",Chrome 97.0.4692.71,,,2022-01-16 00:21:44,2022-01-16 00:22:04,20.355s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Setting - Phone Number/Page_Element 2/input_use your Security Key_mx_passPhraseInput""), ""reV6H350bXVA0kTbjZFhCPXAh4FFL4It6typrKizvxSyJdUn2mpvZeL5nXz6yBWwF/LIkIubCxLuDiWR7yvugw=="")",Chrome 97.0.4692.71,,,2022-01-16 00:22:04,2022-01-16 00:22:35,30.635s,PASSED
"click(findTestObject(""Object Repository/Setting - Phone Number/Page_Element 2/button_Continue""))",Chrome 97.0.4692.71,,,2022-01-16 00:22:35,2022-01-16 00:23:05,30.180s,PASSED
"click(findTestObject(""Object Repository/Setting - Phone Number/Page_Element 2/div_Done""))",Chrome 97.0.4692.71,,,2022-01-16 00:23:05,2022-01-16 00:23:35,30.249s,PASSED
"click(findTestObject(""Object Repository/Setting - Phone Number/Page_Element 2/img_Review_mx_BaseAvatar_image""))",Chrome 97.0.4692.71,,,2022-01-16 00:23:35,2022-01-16 00:24:06,30.483s,PASSED
"click(findTestObject(""Object Repository/Setting - Phone Number/Page_Element 2/span_Security  privacy_mx_IconizedContextMe_38942c""))",Chrome 97.0.4692.71,,,2022-01-16 00:24:06,2022-01-16 00:24:20,14.592s,PASSED
"setText(findTestObject(""Object Repository/Setting - Phone Number/Page_Element 2/input__mx_Field_10""), phoneNumber)",Chrome 97.0.4692.71,,,2022-01-16 00:24:20,2022-01-16 00:25:21,1m - 0.530s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Setting - Phone Number/Page_Element 2/div_Add""))",Chrome 97.0.4692.71,,,2022-01-16 00:25:21,2022-01-16 00:25:51,30.150s,PASSED
closeBrowser(),Chrome 97.0.4692.71,,,2022-01-16 00:25:51,2022-01-16 00:25:52,0.977s,PASSED
,,,,,,,
Test Cases/TC39-40. Setting - Phone Number,Chrome 97.0.4692.71,,,2022-01-16 00:25:52,2022-01-16 00:30:41,4m - 49.566s,PASSED
"openBrowser("""")",Chrome 97.0.4692.71,,,2022-01-16 00:25:52,2022-01-16 00:25:53,1.234s,PASSED
"navigateToUrl(""http://localhost:8080/#/login"")",Chrome 97.0.4692.71,,,2022-01-16 00:25:53,2022-01-16 00:25:56,2.328s,PASSED
"setText(findTestObject(""Object Repository/Setting - Phone Number/Page_Element/input_Sign in with_username""), ""nctai"")",Chrome 97.0.4692.71,,,2022-01-16 00:25:56,2022-01-16 00:26:00,4.949s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Setting - Phone Number/Page_Element/input_Username_password""), ""EkCegUu2cCIeOttlbhr1Gg=="")",Chrome 97.0.4692.71,,,2022-01-16 00:26:00,2022-01-16 00:26:01,0.627s,PASSED
"click(findTestObject(""Object Repository/Setting - Phone Number/Page_Element/input_Forgot password_mx_Login_submit""))",Chrome 97.0.4692.71,,,2022-01-16 00:26:01,2022-01-16 00:26:02,0.532s,PASSED
"click(findTestObject(""Object Repository/Setting - Phone Number/Page_Element 2/div_Verify with Security Key or Phrase""))",Chrome 97.0.4692.71,,,2022-01-16 00:26:02,2022-01-16 00:26:47,45.316s,PASSED
"click(findTestObject(""Object Repository/Setting - Phone Number/Page_Element 2/div_Security Phrase""))",Chrome 97.0.4692.71,,,2022-01-16 00:26:47,2022-01-16 00:27:17,30.168s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Setting - Phone Number/Page_Element 2/input_use your Security Key_mx_passPhraseInput""), ""reV6H350bXVA0kTbjZFhCPXAh4FFL4It6typrKizvxSyJdUn2mpvZeL5nXz6yBWwF/LIkIubCxLuDiWR7yvugw=="")",Chrome 97.0.4692.71,,,2022-01-16 00:27:17,2022-01-16 00:27:48,30.510s,PASSED
"click(findTestObject(""Object Repository/Setting - Phone Number/Page_Element 2/button_Continue""))",Chrome 97.0.4692.71,,,2022-01-16 00:27:48,2022-01-16 00:28:08,20.782s,PASSED
"click(findTestObject(""Object Repository/Setting - Phone Number/Page_Element 2/div_Done""))",Chrome 97.0.4692.71,,,2022-01-16 00:28:08,2022-01-16 00:28:39,30.182s,PASSED
"click(findTestObject(""Object Repository/Setting - Phone Number/Page_Element 2/img_Review_mx_BaseAvatar_image""))",Chrome 97.0.4692.71,,,2022-01-16 00:28:39,2022-01-16 00:28:40,0.957s,PASSED
"click(findTestObject(""Object Repository/Setting - Phone Number/Page_Element 2/span_Security  privacy_mx_IconizedContextMe_38942c""))",Chrome 97.0.4692.71,,,2022-01-16 00:28:40,2022-01-16 00:29:10,30.203s,PASSED
"setText(findTestObject(""Object Repository/Setting - Phone Number/Page_Element 2/input__mx_Field_10""), phoneNumber)",Chrome 97.0.4692.71,,,2022-01-16 00:29:10,2022-01-16 00:30:10,1m - 0.526s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Setting - Phone Number/Page_Element 2/div_Add""))",Chrome 97.0.4692.71,,,2022-01-16 00:30:10,2022-01-16 00:30:41,30.226s,PASSED
closeBrowser(),Chrome 97.0.4692.71,,,2022-01-16 00:30:41,2022-01-16 00:30:41,0.980s,PASSED
