Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC41-44. Setting - Displayname,Chrome 97.0.4692.71,,,2022-01-16 23:28:52,2022-01-16 23:50:07,21m - 15.159s,PASSED
,,,,,,,
Test Cases/TC41-44. Setting - Change Display Name,Chrome 97.0.4692.71,,,2022-01-16 23:28:53,2022-01-16 23:33:52,4m - 59.510s,PASSED
"openBrowser("""")",Chrome 97.0.4692.71,,,2022-01-16 23:28:54,2022-01-16 23:28:59,5.243s,PASSED
"navigateToUrl(""http://localhost:8080/#/login"")",Chrome 97.0.4692.71,,,2022-01-16 23:28:59,2022-01-16 23:29:02,2.942s,PASSED
"setText(findTestObject(""Object Repository/Setting - Display Name/Page_Element/input_Sign in with_username""), ""nctai"")",Chrome 97.0.4692.71,,,2022-01-16 23:29:02,2022-01-16 23:29:07,4.732s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Setting - Display Name/Page_Element/input_Username_password""), ""EkCegUu2cCIeOttlbhr1Gg=="")",Chrome 97.0.4692.71,,,2022-01-16 23:29:07,2022-01-16 23:29:08,0.581s,PASSED
"click(findTestObject(""Object Repository/Setting - Display Name/Page_Element/input_Forgot password_mx_Login_submit""))",Chrome 97.0.4692.71,,,2022-01-16 23:29:08,2022-01-16 23:29:08,0.498s,PASSED
"click(findTestObject(""Object Repository/Setting - Display Name/Page_Element 3/div_Verify with Security Key or Phrase""))",Chrome 97.0.4692.71,,,2022-01-16 23:29:08,2022-01-16 23:29:54,45.491s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Setting - Display Name/Page_Element 3/input_use your Security Key_mx_passPhraseInput""), ""reV6H350bXVA0kTbjZFhCPXAh4FFL4It6typrKizvxSyJdUn2mpvZeL5nXz6yBWwF/LIkIubCxLuDiWR7yvugw=="")",Chrome 97.0.4692.71,,,2022-01-16 23:29:54,2022-01-16 23:30:24,30.535s,PASSED
"click(findTestObject(""Object Repository/Setting - Display Name/Page_Element 3/button_Continue""))",Chrome 97.0.4692.71,,,2022-01-16 23:30:24,2022-01-16 23:30:54,30.179s,PASSED
"click(findTestObject(""Object Repository/Setting - Display Name/Page_Element 3/div_Done""))",Chrome 97.0.4692.71,,,2022-01-16 23:30:54,2022-01-16 23:31:00,5.780s,PASSED
"click(findTestObject(""Object Repository/Setting - Display Name/Page_Element 3/img_Review_mx_BaseAvatar_image""))",Chrome 97.0.4692.71,,,2022-01-16 23:31:00,2022-01-16 23:31:31,30.457s,PASSED
"click(findTestObject(""Object Repository/Setting - Display Name/Page_Element 3/span_Security  privacy_mx_IconizedContextMe_38942c""))",Chrome 97.0.4692.71,,,2022-01-16 23:31:31,2022-01-16 23:32:01,30.196s,PASSED
"click(findTestObject(""Object Repository/Setting - Display Name/Page_Element 3/div_GeneralAppearanceNotificationsPreferenc_bc2e8e""))",Chrome 97.0.4692.71,,,2022-01-16 23:32:01,2022-01-16 23:32:31,30.211s,PASSED
"setText(findTestObject(""Object Repository/Setting - Display Name/Page_Element 3/input_Profile_mx_Field_4""), displayName)",Chrome 97.0.4692.71,,,2022-01-16 23:32:31,2022-01-16 23:33:21,49.691s,PASSED
