Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC45-46. Setting - Change Password,Chrome 97.0.4692.71,,,2022-01-16 23:33:50,2022-01-16 23:47:52,14m - 2.385s,PASSED
,,,,,,,
Test Cases/TC45-46. Setting - Change Password,Chrome 97.0.4692.71,,,2022-01-16 23:33:50,2022-01-16 23:40:54,7m - 4.138s,PASSED
"openBrowser("""")",Chrome 97.0.4692.71,,,2022-01-16 23:33:51,2022-01-16 23:33:55,4.062s,PASSED
"navigateToUrl(""http://localhost:8080/#/login"")",Chrome 97.0.4692.71,,,2022-01-16 23:33:55,2022-01-16 23:33:59,3.618s,PASSED
"setText(findTestObject(""Object Repository/Setting - Change Password/Page_Element/input_Sign in with_username""), ""nctai"")",Chrome 97.0.4692.71,,,2022-01-16 23:33:59,2022-01-16 23:34:05,6.544s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Setting - Change Password/Page_Element/input_Username_password""), ""EkCegUu2cCIeOttlbhr1Gg=="")",Chrome 97.0.4692.71,,,2022-01-16 23:34:05,2022-01-16 23:34:06,0.550s,PASSED
"click(findTestObject(""Object Repository/Setting - Change Password/Page_Element/input_Forgot password_mx_Login_submit""))",Chrome 97.0.4692.71,,,2022-01-16 23:34:06,2022-01-16 23:34:06,0.549s,PASSED
"click(findTestObject(""Object Repository/Setting - Change Password/Page_Element 2/div_Verify with Security Key or Phrase""))",Chrome 97.0.4692.71,,,2022-01-16 23:34:06,2022-01-16 23:34:53,46.922s,PASSED
"click(findTestObject(""Object Repository/Setting - Change Password/Page_Element 2/label_Security Phrase""))",Chrome 97.0.4692.71,,,2022-01-16 23:34:53,2022-01-16 23:35:24,30.243s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Setting - Change Password/Page_Element 2/input_use your Security Key_mx_passPhraseInput""), ""reV6H350bXVA0kTbjZFhCPXAh4FFL4It6typrKizvxSyJdUn2mpvZeL5nXz6yBWwF/LIkIubCxLuDiWR7yvugw=="")",Chrome 97.0.4692.71,,,2022-01-16 23:35:24,2022-01-16 23:35:54,30.649s,PASSED
"click(findTestObject(""Object Repository/Setting - Change Password/Page_Element 2/button_Continue""))",Chrome 97.0.4692.71,,,2022-01-16 23:35:54,2022-01-16 23:36:24,30.215s,PASSED
"click(findTestObject(""Object Repository/Setting - Change Password/Page_Element 2/div_Done""))",Chrome 97.0.4692.71,,,2022-01-16 23:36:24,2022-01-16 23:36:55,30.205s,PASSED
"click(findTestObject(""Object Repository/Setting - Change Password/Page_Element 2/img_Review_mx_BaseAvatar_image""))",Chrome 97.0.4692.71,,,2022-01-16 23:36:55,2022-01-16 23:37:25,30.491s,PASSED
"click(findTestObject(""Object Repository/Setting - Change Password/Page_Element 2/span_Security  privacy_mx_IconizedContextMe_38942c""))",Chrome 97.0.4692.71,,,2022-01-16 23:37:25,2022-01-16 23:37:31,5.983s,PASSED
"setText(findTestObject(""Object Repository/Setting - Change Password/Page_Element 2/input_Account_mx_Field_6""), currentPw)",Chrome 97.0.4692.71,,,2022-01-16 23:37:31,2022-01-16 23:38:31,1m - 0.394s,PASSED
